Ticker,Event,Subtitle,Bid,Ask,Last,Volume
KXMVESPORTSMULTIGAMEEXTENDED-S202569753BEB482-687AF45E885,"yes Over 3.5 goals scored,yes Over 4.5 goals scored,yes Over 4.5 goals scored,yes Over 4.5 goals scored,yes Over 3.5 goals scored,yes Over 4.5 goals scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202514C5D20BA85-9C43B93932D,"yes Drake Maye: 175+,yes Sam Darnold: 225+,yes Rhamondre Stevenson: 2+,yes Stefon Diggs: 30+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025A2D621ED791-327241B4C52,"yes Alperen Sengun: 2+,yes Derrick White: 2+,yes Jaylen Brown: 2+,yes Payton Pritchard: 2+,yes CJ McCollum: 10+,yes Nickeil Alexander-Walker: 10+,yes Pascal Siakam: 15+,yes Josh Giddey: 10+,yes Nikola Vučević: 10+,yes Kevin Durant: 20+,yes Miles Bridges: 10+,yes Jaylen Brown: 20+,yes Payton Pritchard: 10+,yes Nikola Vučević: 6+,yes Amen Thompson: 4+,yes Kevin Durant: 2+,yes Donovan Mitchell: 2+,yes Evan Mobley: 4+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025A4316B4CAE1-6C4E794297A,"yes Jaxon Smith-Njigba,yes Kenneth Walker III,yes Stefon Diggs: 40+,yes Cooper Kupp: 20+,yes TreVeyon Henderson: 30+,yes Over 40.5 points scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025A4B1D2D8EED-B1C56C48432,"yes Nickeil Alexander-Walker: 2+,yes Tyrese Maxey: 3+,yes CJ McCollum: 15+,yes Pascal Siakam: 20+,yes Pascal Siakam: 6+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20258129189DB96-1C793323FC5,"yes Stephen Curry: 3+,yes Draymond Green: 2+,yes Anthony Edwards: 20+,yes Jaylen Brown: 20+,yes Draymond Green: 4+,yes Anthony Edwards: 4+,yes Stephen Curry: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025E34CFB8C889-5B7BEDD8B61,"yes Drake Maye: 1+,yes Sam Darnold: 1+,yes Sam Darnold: 175+,yes Cooper Kupp: 20+,yes Kenneth Walker III: 20+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20258F554F2E279-E86A2B9477E,"yes Kenneth Walker III,yes Jaxon Smith-Njigba: 100+,yes Drake Maye: 20+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20256C750D97748-8942FC49A40,"yes Golden State,yes Draymond Green: 10+,yes Stephen Curry: 30+,yes Draymond Green: 4+,yes Stephen Curry: 4+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025B874C235ABE-B49CB118471,"yes Alperen Sengun: 2+,yes Derrick White: 2+,yes Payton Pritchard: 2+,yes CJ McCollum: 10+,yes Nickeil Alexander-Walker: 10+,yes Pascal Siakam: 15+,yes Josh Giddey: 10+,yes Nikola Vučević: 10+,yes Kevin Durant: 20+,yes Miles Bridges: 10+,yes Jaylen Brown: 20+,yes Payton Pritchard: 10+,yes Nikola Vučević: 6+,yes Amen Thompson: 4+,yes Kevin Durant: 2+,yes Donovan Mitchell: 2+,yes Evan Mobley: 4+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202529424D3088F-12F674DC6BD,"yes Indiana,yes Chicago,yes Orlando,yes Philadelphia,yes Houston wins by over 10.5 Points",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20251E945542720-F30F4858B07,"yes Jalen Johnson: 20+,yes Pascal Siakam: 20+,yes Pascal Siakam: 6+,yes Jalen Johnson: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202590902CC5F5B-7203720E6EF,"yes Atlanta,yes Los Angeles L,yes Luka Dončić: 30+,yes LaMelo Ball: 15+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025F0C59F04929-34C735A3C47,"yes Atlanta,yes Houston,yes Cleveland,yes Boston,yes Luka Dončić: 30+,yes LaMelo Ball: 15+,yes Jaylen Brown: 20+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025A33026D5FE4-F532A7CE5C4,"yes Houston,yes Boston,yes Over 226.5 points scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025F1FC8FBF5DA-3079301C3C1,"yes Stephen Curry: 6+,yes Stephen Curry: 25+,yes Anthony Edwards: 30+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025821CA6EEF8B-97849643751,"yes Jaxon Smith-Njigba,yes Sam Darnold: 2+,yes Sam Darnold: 200+,yes Stefon Diggs: 3+,yes Jaxon Smith-Njigba: 5+,yes Cooper Kupp: 20+,yes Rhamondre Stevenson: 40+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20255D32EC221F9-A609AEEB59E,"yes Jaxon Smith-Njigba,yes Hunter Henry: 2+,yes AJ Barner: 1+,yes Cooper Kupp: 1+,yes Jaxon Smith-Njigba: 5+,yes Kayshon Boutte: 20+,yes Stefon Diggs: 30+,yes TreVeyon Henderson: 10+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20255C190834576-F87ED7DFBDD,"yes Pascal Siakam: 1+,yes LeBron James: 1+,yes Kevin Durant: 1+,yes Jaren Jackson Jr.: 1+,yes Desmond Bane: 1+,yes Paolo Banchero: 1+,yes Kon Knueppel: 1+,yes Miles Bridges: 1+,yes Anthony Edwards: 2+,yes Coby White: 2+,yes Nikola Vučević: 2+,yes Amen Thompson: 2+,yes Paolo Banchero: 2+,yes Derrick White: 2+,yes Nikola Vučević: 10+,yes Alperen Sengun: 15+,yes Anthony Edwards: 2+,yes Pascal Siakam: 6+,yes Nikola Vučević: 6+,yes Luka Dončić: 6+,yes Alperen Sengun: 6+,yes Amen Thompson: 4+,yes Kevin Durant: 2+,yes Donovan Mitchell: 2+,yes Paolo Banchero: 6+,yes Kon Knueppel: 2+,yes Derrick White: 2+,yes Payton Pritchard: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20256548EBB5BB7-05B139DDD28,"yes Nickeil Alexander-Walker: 4+,yes Luka Dončić: 8+,yes Jalen Johnson: 25+,yes Josh Giddey: 15+,yes Luka Dončić: 30+,yes Jaren Jackson Jr.: 20+,yes Donovan Mitchell: 30+,yes Derrick White: 15+,yes LeBron James: 6+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025969B3B117AE-FA5B4334F89,"yes CJ McCollum: 2+,yes Atlanta,yes CJ McCollum: 15+,yes Nickeil Alexander-Walker: 15+,yes Pascal Siakam: 20+,yes Pascal Siakam: 6+,no Over 248.5 points scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20258D6DB8D2A76-61B733A15E7,"yes Cooper Kupp,yes Kenneth Walker III,yes Rashid Shaheed,yes Over 45.5 points scored,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202543D9EAC8477-C1422E6737C,"yes Minnesota,yes Atlanta,yes Los Angeles L,yes Houston,yes Cleveland,yes Charlotte wins by over 3.5 Points,yes Boston wins by over 6.5 Points,yes Seattle",,0.0,0.0,0.0,0
