ITEMNMBR,UOFM,Description,MinCost,MaxCost,AvgCost,TxCount,VendorCount,SpreadPct
MISC SUPPLIES TO REPAIR        ,Each     ,COMPRESSOR                                                                                           ,20.51,49.87,35.19,2,1,143.14968308142366
SNAP RING PLIERS               ,Each     ,                                                                                                     ,12.83,30.95,21.89,2,1,141.2314886983632
LABEL GLUE                     ,lbs      ,V3869EN                                                                                              ,0.97,2.313,2.0918571428571426,7,2,138.4536082474227
ASSORTED STAMPS 0-9            ,Each     ,micro                                                                                                ,7.0,16.0,11.5,2,1,128.57142857142858
DELIVERY CHARGE                ,Each     ,                                                                                                     ,4.2,9.6,6.9,2,1,128.57142857142856
SHIPPING&HANDLING              ,Each     ,                                                                                                     ,5.52,12.54,8.25,3,3,127.17391304347827
REPAIR BLENDING TANK           ,each     ,Weld Repair Work on Blending Tank                                                                    ,320.0,725.0,522.5,4,1,126.5625
MISCNAOH                       ,LBS      ,Sodium Hydroxide (dry caustic soda)                                                                  ,0.2,0.45,0.3022058823529412,34,4,125.0
NPKKOHDRY                      ,LBS      ,Potassium Hydroxide KOH Dry 90%                                                                      ,0.385,0.85,0.5177998333333333,60,8,120.77922077922076
NO3MN                          ,LBS      ,Manganese Nitrate 15                                                                                 ,0.25,0.55,0.41201183333333335,60,6,120.00000000000001
PH PROBE                       ,Each     ,                                                                                                     ,169.2,371.85,270.525,2,2,119.76950354609932
ZZ55GAL                        ,EACH5    ,55 Gallon Drum                                                                                       ,12.0,26.33333,18.91685528301887,53,3,119.44441666666667
AIR FILTER FOR COMPRESSOR      ,Each     ,PEN16C Air filter for MICRO Air Compressor                                                           ,19.6,42.5,31.05,4,1,116.83673469387755
"2"" 90 DEG BANJO FITTINGS       ",Each     ,                                                                                                     ,4.64,10.03,7.334999999999999,2,1,116.16379310344828
2X1 RED BUSHING 3/5            ,Each     ,                                                                                                     ,1.3,2.78,2.04,2,1,113.84615384615383
MUFFLER                        ,Each     ,                                                                                                     ,22.26,47.07,34.665,2,2,111.45552560646898
NPKUREA50                      ,LBS      ,Urea 46% Dry 50 lb. bags                                                                             ,0.105,0.22134,0.15281555555555557,9,3,110.80000000000001
ZZ2.5GALFFL                    ,EACH5    ,2.5 Gallon Squat Solo Jug                                                                            ,1.63,3.42902,1.9051896666666666,60,1,110.36932515337425
EDTAFEHE                       ,LBS      ,Iron HEDTA 4.5% Liquid                                                                               ,0.80995,1.63768,1.040842380952381,21,3,102.1951972343972
FREIGHT TO CDI TOTAL           ,Each     ,                                                                                                     ,69.28,139.31,92.73,6,2,101.08256351039262
GRPMZ63                        ,LBS      ,Goemar MZ 63                                                                                         ,1.36792,2.73585,1.4791688235294118,17,3,100.00073103690275
USLOGISOK                      ,Each     ,US Logistic Oklahoma                                                                                 ,1300.0,2600.0,1950.0,2,1,100.0
PLATE CHANGE CHARGE            ,each     ,Change the Plate Charge                                                                              ,5.0,10.0,9.666666666666666,30,1,100.0
NO3FE                          ,LBS      ,Iron Nitrate 10%                                                                                     ,0.24,0.48,0.3787223287671233,73,3,100.0
ZZ2.5GAL                       ,EACH5    ,2.5 Gallon  Jug Squat                                                                                ,1.23455,2.44469,1.5877750588235295,85,7,98.02276133003929
TOTE - CLEANED & REPAIR        ,Each     ,Cleaned & Pallet Replaced                                                                            ,35.0,69.0,52.0,2,1,97.14285714285714
SIZE #8 STEEL TOE BOOT         ,Each     ,#3MDR8 Honeywell Boots                                                                               ,22.62,44.18,30.820000000000004,6,1,95.31388152077807
FUEL SURCHAGE                  ,Each     ,                                                                                                     ,35.0,67.5,51.25,8,2,92.85714285714286
SPLITTER VALVE                 ,each     ,Splitter Valve                                                                                       ,189.26,361.24,275.25,4,1,90.8697030539998
CHEMONETH                      ,LBS      ,Monoethanolamine MEA                                                                                 ,0.65,1.23899,0.8001093333333333,15,4,90.61384615384615
MISC. ITEMS                    ,Each     ,                                                                                                     ,26.96,51.33,39.144999999999996,2,2,90.39317507418396
CHESORB                        ,LBS      ,Sorbitol 70%                                                                                         ,0.275,0.52,0.37833333333333335,9,3,89.0909090909091
"3"" BALL VALVE                  ",Each     ,                                                                                                     ,47.28,88.35,62.88199999999999,5,2,86.86548223350252
PLASTIC SHIMS                  ,Each     ,                                                                                                     ,3.21,5.94,4.575,2,1,85.04672897196262
MISCGLYCEROL                   ,LBS      ,Glycerol                                                                                             ,0.54,0.9957,0.79374,40,5,84.38888888888889
"2"" BALL VALVES                 ",Each     ,MACRO                                                                                                ,18.77,34.55,26.659999999999997,2,2,84.07032498668087
NPKPHOS85                      ,LBS      ,Phosphoric Acid 85%                                                                                  ,0.46297,0.845,0.57498375,16,2,82.51722573816878
PAINTING SUPPLIES              ,Each     ,BUILDING MAINT.                                                                                      ,43.53,77.6,58.836666666666666,3,1,78.26786124511828
