Batch ID,Item Number,Site ID,Trx Date,Trx Qty,Unit Cost,Reason Code
YE_CLOSE_2025,PHURYPHOS250,MAIN,10/01/2025,0.539999999999992,6.61111,YE COUNT
YE_CLOSE_2025,PHYLO02,MAIN,10/01/2025,5.0,7.56273,YE COUNT
YE_CLOSE_2025,PMX1309-0053,MAIN,10/01/2025,0.5599999999999454,0.44643,YE COUNT
YE_CLOSE_2025,PMX1312-0020,MAIN,10/01/2025,163.73000000000002,0.57664,YE COUNT
YE_CLOSE_2025,PMX1312-0048,MAIN,10/01/2025,-4.152,0.1798,YE COUNT
YE_CLOSE_2025,PMX1404-0106,MAIN,10/01/2025,-6.6099999999999,1.34949,YE COUNT
YE_CLOSE_2025,PMX1406-0002,MAIN,10/01/2025,-6467.075,0.09233,YE COUNT
YE_CLOSE_2025,PREMIX93927,MAIN,10/01/2025,8539.0,0.20686,YE COUNT
YE_CLOSE_2025,REPACK02,MAIN,10/01/2025,-56.0,1.37525,YE COUNT
YE_CLOSE_2025,SO4BORIC,MAIN,10/01/2025,1690.4600000000064,0.51782,YE COUNT
YE_CLOSE_2025,SO4BORON,MAIN,10/01/2025,-2192.8525899999986,0.85004,YE COUNT
YE_CLOSE_2025,SO4COLIQ,MAIN,10/01/2025,-39.0,8.3612,YE COUNT
YE_CLOSE_2025,SO4CU,MAIN,10/01/2025,17.91000000000031,1.86,YE COUNT
YE_CLOSE_2025,SO4FEDRY19,MAIN,10/01/2025,3656.9811200000004,0.06577,YE COUNT
YE_CLOSE_2025,SO4FELIQ,MAIN,10/01/2025,-1994.0005999999994,0.08648,YE COUNT
YE_CLOSE_2025,SO4MG,MAIN,10/01/2025,484.19572000000244,0.41001,YE COUNT
YE_CLOSE_2025,SO4MN,MAIN,10/01/2025,0.8400000000000034,0.64288,YE COUNT
YE_CLOSE_2025,SO4MN32,MAIN,10/01/2025,275.52391999999236,0.42004,YE COUNT
YE_CLOSE_2025,SO4MOLY,MAIN,10/01/2025,-45.72320000000002,12.10013,YE COUNT
YE_CLOSE_2025,SO4NIDRY,MAIN,10/01/2025,-2199.6623,4.21818,YE COUNT
YE_CLOSE_2025,SO4ZNSTD,MAIN,10/01/2025,-86.05203000000256,0.56055,YE COUNT
YE_CLOSE_2025,SOAR7L02,MAIN,10/01/2025,-360.0,8.58822,YE COUNT
YE_CLOSE_2025,SOARBLM02,MAIN,10/01/2025,672.5,7.00199,YE COUNT
YE_CLOSE_2025,SOARBLM250,MAIN,10/01/2025,-289.0,6.05456,YE COUNT
YE_CLOSE_2025,SOARCIT02,MAIN,10/01/2025,-10.0,10.018,YE COUNT
YE_CLOSE_2025,SOARPOT250,MAIN,10/01/2025,-2.5,5.7483,YE COUNT
YE_CLOSE_2025,SURFEMT-MULZ,MAIN,10/01/2025,122.0,18.9159,YE COUNT
YE_CLOSE_2025,SYMALLUM,MAIN,10/01/2025,-175.0,108.0,YE COUNT
YE_CLOSE_2025,SYMCIN,MAIN,10/01/2025,-80.0,105.0,YE COUNT
YE_CLOSE_2025,THIOCACDI,MAIN,10/01/2025,-184.0,0.35764,YE COUNT
YE_CLOSE_2025,USC8FE02,MAIN,10/01/2025,-10.0,4.10164,YE COUNT
YE_CLOSE_2025,USCMANPLX+250,MAIN,10/01/2025,7.5,4.45096,YE COUNT
YE_CLOSE_2025,ZON1836250,MAIN,10/01/2025,-265.0,5.75274,YE COUNT
YE_CLOSE_2025,ZON5020ACE02,MAIN,10/01/2025,25.0,9.60908,YE COUNT
YE_CLOSE_2025,ZONN3002,MAIN,10/01/2025,40.0,7.66617,YE COUNT
YE_CLOSE_2025,ZONN30250,MAIN,10/01/2025,-10.0,6.291,YE COUNT
YE_CLOSE_2025,ZZ2.5GALCASE,MAIN,10/01/2025,-2106.5,1.765,YE COUNT
YE_CLOSE_2025,ZZ2.5GALCASEF,MAIN,10/01/2025,-20093.0,1.594,YE COUNT
YE_CLOSE_2025,ZZ2.5GALCASEZFOLD,MAIN,10/01/2025,-21240.0,0.224,YE COUNT
YE_CLOSE_2025,ZZ2.5GALF,MAIN,10/01/2025,-140.0,4.39,YE COUNT
YE_CLOSE_2025,ZZ2.5GALFFL,MAIN,10/01/2025,-4138.0,2.36014,YE COUNT
YE_CLOSE_2025,ZZ2.5GALTALL,MAIN,10/01/2025,-5469.0,2.319,YE COUNT
YE_CLOSE_2025,ZZ2.5GALWH,MAIN,10/01/2025,-16.0,2.45667,YE COUNT
YE_CLOSE_2025,ZZ2.5TRI-BOX,MAIN,10/01/2025,-5850.0,0.0,YE COUNT
YE_CLOSE_2025,ZZ250GAL,MAIN,10/01/2025,-117.89828,125.0,YE COUNT
YE_CLOSE_2025,ZZ30GAL,MAIN,10/01/2025,-13.000000000000002,24.99923,YE COUNT
YE_CLOSE_2025,ZZ55GAL,MAIN,10/01/2025,-31.999999999999993,18.0,YE COUNT
YE_CLOSE_2025,ZZ5GALCAMO,MAIN,10/01/2025,-5535.0,5.41,YE COUNT
YE_CLOSE_2025,ZZ5GALTH,MAIN,10/01/2025,-31.0,13.09,YE COUNT
YE_CLOSE_2025,ZZLID5GALTH,MAIN,10/01/2025,-352.0,0.97,YE COUNT
YE_CLOSE_2025,ZZLIDS1GL,MAIN,10/01/2025,-868.0,0.02501,YE COUNT
YE_CLOSE_2025,ZZLIDS1GLHEAT,MAIN,10/01/2025,-1485.0,0.049,YE COUNT
YE_CLOSE_2025,ZZLIDSCAMO,MAIN,10/01/2025,-2721.0,2.21351,YE COUNT
YE_CLOSE_2025,ZZLIDSVENTED2.5,MAIN,10/01/2025,-17490.0,0.3358,YE COUNT
